VERB	POSSESSION	INFORMATION	COMBAT	CREATION	EMOTION												
cultist	0.0909090909	0.1818181818	0.1818181818	0.1818181818	0.0909090909	0	0	0	0	0.1363636364	0	0	0.0454545455	0.0909090909			
cyclops	0.1818181818	0	0.1818181818	0	0.0909090909	0	0.1363636364	0.1363636364	0.0454545455	0.1818181818	0	0	0.0454545455	0			
dancer	0	0	0	0.0833333333	0	0.3333333333	0	0	0.1666666667	0.1666666667	0	0.1666666667	0.0833333333	0			
death_knight	0.3076923077	0.1538461538	0	0	0	0	0	0	0	0.3076923077	0	0	0	0.2307692308			
demigod	0.25	0.25	0.125	0	0	0	0	0	0.125	0.125	0	0.125	0	0			
demon	0.0833333333	0.1666666667	0.1666666667	0	0.0833333333	0	0	0	0	0.1666666667	0.0833333333	0.0833333333	0.1666666667	0			
divinator	0	0.2352941176	0.1176470588	0.1764705882	0.0588235294	0	0.0588235294	0	0.1176470588	0.1176470588	0	0	0.1176470588	0			
docker	0	0	0	0	0	0	0	0.3333333333	0.0833333333	0.0833333333	0.3333333333	0	0.0833333333	0.0833333333			
druid	0	0.2352941176	0.1176470588	0	0.2352941176	0	0.0588235294	0	0.1764705882	0.1176470588	0	0	0.0588235294	0			
dryad	0	0.2222222222	0	0	0.4444444444	0	0	0	0.2222222222	0.1111111111	0	0	0	0			
duke	0	0	0	0.1111111111	0	0	0	0	0.2222222222	0.2222222222	0	0.4444444444	0	0			
dwarf	0.2666666667	0	0	0	0	0	0.2666666667	0.2666666667	0	0	0	0.1333333333	0.0666666667	0			
elf	0.125	0.0625	0.0625	0.125	0.125	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0			
emissary	0	0	0	0.3333333333	0	0	0	0	0.1666666667	0.1666666667	0	0.3333333333	0	0			
emperor	0	0	0	0.1666666667	0	0	0	0	0.1666666667	0.1666666667	0	0.3333333333	0	0.1666666667			
enchanter	0	0.2857142857	0	0.2142857143	0.0714285714	0	0	0	0.1428571429	0.1428571429	0	0.0714285714	0	0.0714285714			
engineer	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0			
ent	0	0	0	0	1	0	0	0	0	0	0	0	0	0			
executioner	0.3636363636	0	0	0	0	0	0	0	0.1818181818	0.3636363636	0	0	0	0.0909090909			
exorcist	0.0666666667	0.2666666667	0.0666666667	0.2	0	0	0	0	0.2666666667	0.0666666667	0	0.0666666667	0	0			
explorer	0.125	0	0.125	0.125	0.125	0	0	0	0	0	0.25	0.125	0.125	0			
fairy	0	0.4	0	0	0.4	0	0	0	0.2	0	0	0	0	0			
farmer	0.0909090909	0	0	0	0.0909090909	0	0.3636363636	0.3636363636	0	0	0	0	0.0909090909	0			
farseer	0	0.2352941176	0.1176470588	0.1764705882	0.0588235294	0	0.0588235294	0	0.1176470588	0.1176470588	0	0	0.1176470588	0			
fighter	0.4	0	0	0	0	0	0	0.1	0.2	0.2	0	0	0	0.1			
fisherman	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
footman	0.4	0	0	0	0.1	0	0	0.1	0.2	0.2	0	0	0	0			
gambler	0	0	0	0.1428571429	0	0	0	0	0.1428571429	0.1428571429	0	0	0.5714285714	0			
gardener	0	0	0	0	0	0	0	0.6666666667	0	0	0	0.3333333333	0	0			
general	0.2666666667	0	0	0.1333333333	0	0	0	0	0.1333333333	0.1333333333	0	0.2	0	0.1333333333			
ghost	0	0.1	0.2	0	0.1	0.1	0	0	0.1	0.1	0.1	0	0	0.2			
ghoul	0.0666666667	0	0.2666666667	0	0.1333333333	0	0	0	0	0.2666666667	0	0	0	0.2666666667			
gladiator	0.4	0	0	0	0	0	0	0	0.2	0.2	0	0	0.2	0			
gnome	0	0	0	0	0.25	0	0.25	0	0.25	0.25	0	0	0	0			
goblin	0.0833333333	0.0833333333	0.1666666667	0	0.0833333333	0	0	0.1666666667	0	0.1666666667	0.0833333333	0	0.1666666667	0			
goldsmith	0	0	0	0.25	0	0	0	0.5	0	0	0	0.25	0	0			
golem	0	0	0	0	0.5	0	0	0	0.25	0.25	0	0	0	0			
gravedigger	0	0	0	0	0	0	0.4	0.4	0	0	0	0	0	0.2			
guard	0.5	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0			
guardian	0.3333333333	0.0833333333	0	0	0	0	0	0	0.1666666667	0.1666666667	0	0.1666666667	0	0.0833333333			
haunt	0	0.0952380952	0.1904761905	0	0.0952380952	0.0952380952	0	0	0.0952380952	0.1428571429	0.0952380952	0	0	0.1904761905			
healer	0.0714285714	0.1428571429	0	0.2857142857	0.1428571429	0	0.1428571429	0	0.2142857143	0	0	0	0	0			
herbalist	0	0.0714285714	0.1428571429	0.2857142857	0.1428571429	0	0.2142857143	0	0.1428571429	0	0	0	0	0			
hermit	0	0.1153846154	0.1538461538	0.1538461538	0.1153846154	0	0.1153846154	0	0.0769230769	0.0769230769	0	0	0.1538461538	0.0384615385			
hero	0.2222222222	0.1111111111	0.1111111111	0.0555555556	0	0	0	0	0.2222222222	0.0555555556	0.1111111111	0.0555555556	0.0555555556	0			
hobbit	0.0454545455	0	0.0454545455	0.0454545455	0.0909090909	0.1818181818	0.1818181818	0.1818181818	0.0909090909	0.0454545455	0	0	0.0909090909	0			
hunter	0.25	0	0	0	0.25	0	0.25	0	0.125	0.125	0	0	0	0			
ifrit	0	0.3333333333	0	0	0	0	0	0	0	0.3333333333	0	0.3333333333	0	0			
illusionist	0	0.3333333333	0	0	0	0	0	0	0.1666666667	0.1666666667	0	0.0833333333	0.25	0			
imp	0	0.1428571429	0.2857142857	0	0	0	0	0	0	0.2857142857	0	0	0.2857142857	0			
inventor	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0			
invoker	0	0.3076923077	0	0	0.0769230769	0	0	0	0.1538461538	0.1538461538	0	0.1538461538	0.0769230769	0.0769230769			
jin	0	0.3333333333	0	0	0	0	0	0	0.1666666667	0.1666666667	0	0.3333333333	0	0			
joker	0	0	0	0.0833333333	0	0.3333333333	0	0	0.1666666667	0.1666666667	0	0.1666666667	0.0833333333	0			
judge	0	0	0	0.3333333333	0	0	0	0	0.2222222222	0.2222222222	0	0.2222222222	0	0			
king	0	0	0	0.1666666667	0	0	0	0	0.1666666667	0.1666666667	0	0.3333333333	0	0.1666666667			
knight	0.2857142857	0	0	0.0714285714	0	0	0	0	0.1428571429	0.1428571429	0	0.2142857143	0	0.1428571429			
kraken	0	0	0	0	0	0	0	0	0	0	1	0	0	0			
landlord	0.1818181818	0	0	0.0909090909	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0			
lawyer	0	0	0	0.3333333333	0	0	0	0	0.2222222222	0.2222222222	0	0.2222222222	0	0			
leader	0.2666666667	0.1333333333	0	0.0666666667	0	0	0	0	0.1333333333	0.1333333333	0.1333333333	0.0666666667	0	0.0666666667			
legionary	0.5	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0			
leper	0	0	0.25	0	0	0	0.125	0	0.125	0.125	0	0	0.25	0.125			
leprechaun	0	0.3333333333	0	0	0.1666666667	0	0.1666666667	0	0.1666666667	0.1666666667	0	0	0	0			
leviathan	0	0	0	0	0	0	0	0	0	0	1	0	0	0			
librarian	0	0	0	0.6666666667	0	0	0	0	0.3333333333	0	0	0	0	0			
light_house_keeper	0	0	0	0	0	0	0.3333333333	0.3333333333	0	0	0.3333333333	0	0	0			
locksmith	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
longshoreman	0	0	0	0	0	0	0	0.3333333333	0.0833333333	0.0833333333	0.3333333333	0	0.0833333333	0.0833333333			
lord	0.1538461538	0	0	0.0769230769	0	0	0	0	0.1538461538	0.1538461538	0	0.3076923077	0	0.1538461538			
lumberjack	0.0769230769	0	0	0	0.3076923077	0	0.3076923077	0.3076923077	0	0	0	0	0	0			
mage	0	0.2666666667	0	0.2666666667	0	0	0	0	0.1333333333	0.1333333333	0	0.1333333333	0	0.0666666667			
maiden	0	0	0	0.0909090909	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0.1818181818			
mason	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
mercenary	0.2666666667	0	0.1333333333	0	0.1333333333	0	0	0	0.1333333333	0.1333333333	0	0	0.2	0			
merchant	0.3333333333	0	0	0	0	0	0	0.6666666667	0	0	0	0	0	0			
mermaid	0	0.25	0	0	0	0	0	0	0.125	0.125	0.5	0	0	0			
messenger	0	0	0	0.2	0	0	0	0	0.2	0.2	0	0.4	0	0			
miller	0	0	0	0	0.1111111111	0	0.4444444444	0.4444444444	0	0	0	0	0	0			
mimic	0	0	0	0	0	0.5	0	0	0.25	0.25	0	0	0	0			
miner	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
minister	0	0	0	0.2727272727	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0			
minotaur	0.25	0	0.5	0	0	0	0	0	0	0.25	0	0	0	0			
minstrel	0	0	0	0.0833333333	0	0.3333333333	0	0	0.1666666667	0.1666666667	0	0.1666666667	0.0833333333	0			
monk	0.0833333333	0.0833333333	0.25	0.3333333333	0	0	0	0	0.25	0	0	0	0	0			
mummy	0	0.0714285714	0.2857142857	0	0	0	0	0	0.1428571429	0.2142857143	0	0	0	0.2857142857			
musician	0	0	0	0.1538461538	0	0.3076923077	0	0	0.1538461538	0.1538461538	0	0.1538461538	0.0769230769	0			
naga	0	0.25	0	0	0	0	0	0	0.125	0.125	0.5	0	0	0			
necromancer	0	0.2	0.1	0.2	0	0	0	0	0.05	0.2	0	0.05	0	0.2			
ninja	0.3636363636	0	0.1818181818	0	0	0	0	0	0.0909090909	0.1818181818	0	0.0909090909	0.0909090909	0			
noble	0.1666666667	0	0	0.1666666667	0	0	0	0	0.1666666667	0.1666666667	0	0.3333333333	0	0			
nymph	0	0.1666666667	0	0	0.3333333333	0	0	0	0.0833333333	0.0833333333	0.3333333333	0	0	0			
oarsman	0	0	0	0	0	0	0	0.3333333333	0.0833333333	0.0833333333	0.3333333333	0	0.0833333333	0.0833333333			
occultist	0.0909090909	0.1818181818	0.1818181818	0.1818181818	0.0909090909	0	0	0	0	0.1363636364	0	0	0.0454545455	0.0909090909			
ogre	0.1818181818	0	0.3636363636	0	0.1818181818	0	0	0	0.0909090909	0.1818181818	0	0	0	0			
orc	0.2	0	0.1	0	0.1	0	0.1	0.1	0.05	0.2	0.05	0	0.1	0			
overlord	0.1538461538	0	0	0.0769230769	0	0	0	0	0.1538461538	0.1538461538	0	0.3076923077	0	0.1538461538			
paladin	0.2666666667	0.1333333333	0	0.1333333333	0	0	0	0	0.2666666667	0	0	0.2	0	0			
peasant	0.0909090909	0	0	0	0.0909090909	0	0.3636363636	0.3636363636	0	0	0	0	0.0909090909	0			
phalanx	0.5	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0			
phantom	0	0.1	0.2	0	0.1	0.1	0	0	0.1	0.1	0.1	0	0	0.2			
pharaoh	0	0	0	0.2307692308	0	0	0	0	0.1538461538	0.1538461538	0	0.3076923077	0	0.1538461538			
philosopher	0	0	0.25	0.5	0	0	0	0	0.25	0	0	0	0	0			
pirate	0.0454545455	0	0.1818181818	0	0	0	0	0.0909090909	0.0454545455	0.1818181818	0.1818181818	0	0.1818181818	0.0909090909			
poet	0	0	0	0.2142857143	0	0.2857142857	0	0	0.1428571429	0.1428571429	0	0.1428571429	0.0714285714	0			
possession	0	0.1111111111	0.2222222222	0	0.1111111111	0	0	0	0.1111111111	0.1666666667	0	0	0.0555555556	0.2222222222			
potter	0	0	0	0.1428571429	0	0	0	0.5714285714	0	0	0	0.2857142857	0	0			
priest	0	0.3076923077	0	0.2307692308	0	0	0	0	0.3076923077	0	0	0.1538461538	0	0			
princess	0	0	0	0.1666666667	0	0	0	0	0.1666666667	0.1666666667	0	0.3333333333	0	0.1666666667			
prophet	0	0.2222222222	0.1111111111	0.2222222222	0.0555555556	0	0.0555555556	0	0.1111111111	0.1111111111	0	0	0.1111111111	0			
puppet_master	0	0	0	0.0833333333	0	0.3333333333	0	0	0.1666666667	0.1666666667	0	0.1666666667	0.0833333333	0			
queen	0	0	0	0.1666666667	0	0	0	0	0.1666666667	0.1666666667	0	0.3333333333	0	0.1666666667			
raider	0.1818181818	0	0.1818181818	0	0.0909090909	0	0.1818181818	0	0	0.1818181818	0	0	0.1818181818	0			
ranger	0.25	0	0	0	0.25	0	0.25	0	0.125	0.125	0	0	0	0			
rider	0.3076923077	0	0	0	0	0	0.1538461538	0	0.1538461538	0.1538461538	0	0.1538461538	0	0.0769230769			
rogue	0.2222222222	0	0.1111111111	0	0.2222222222	0	0.2222222222	0	0.1111111111	0.1111111111	0	0	0	0			
ronin	0.2857142857	0	0.2857142857	0.0714285714	0	0	0	0	0.1428571429	0.1428571429	0	0.0714285714	0	0			
rower	0	0	0	0	0	0	0	0.3333333333	0.0833333333	0.0833333333	0.3333333333	0	0.0833333333	0.0833333333			
sage	0	0.0909090909	0.1818181818	0.3636363636	0.1818181818	0	0	0	0.1818181818	0	0	0	0	0			
sailor	0	0	0	0	0	0	0	0.3333333333	0.0833333333	0.0833333333	0.3333333333	0	0.0833333333	0.0833333333			
samurai	0.3076923077	0	0	0.0769230769	0	0	0	0	0.2307692308	0.1538461538	0	0.2307692308	0	0			
satire	0	0	0.2	0	0.4	0	0	0	0.2	0.2	0	0	0	0			
scholar	0	0	0	0.5	0	0	0	0	0.25	0	0.25	0	0	0			
scout	0.0769230769	0	0	0	0	0	0	0.3076923077	0.0769230769	0.0769230769	0.3076923077	0	0.0769230769	0.0769230769			
sculptor	0	0	0	0.25	0	0	0	0.5	0	0	0	0.25	0	0			
seaman	0	0	0	0	0	0	0	0.3333333333	0.0833333333	0.0833333333	0.3333333333	0	0.0833333333	0.0833333333			
seller	0.3333333333	0	0	0	0	0	0	0.6666666667	0	0	0	0	0	0			
senator	0	0	0	0.2727272727	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0			
sentinel	0.2857142857	0.0714285714	0	0	0	0	0	0	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0.0714285714			
serf	0	0	0	0	0	0	0.4	0.4	0	0	0	0	0.1	0.1			
shaman	0	0.2857142857	0	0	0.2857142857	0	0.1428571429	0	0.1428571429	0.1428571429	0	0	0	0			
shepherd	0	0	0	0	0.1111111111	0	0.4444444444	0.4444444444	0	0	0	0	0	0			
singer	0	0	0	0.0833333333	0	0.3333333333	0	0	0.1666666667	0.1666666667	0	0.1666666667	0.0833333333	0			
siren	0	0.25	0	0	0	0	0	0	0.125	0.125	0.5	0	0	0			
skeleton	0.2105263158	0.0526315789	0.2105263158	0	0.1052631579	0	0	0	0	0.2105263158	0	0	0	0.2105263158			
slave	0	0	0	0	0	0	0.3076923077	0.3076923077	0	0	0	0	0.3076923077	0.0769230769			
slayer	0.2666666667	0	0.1333333333	0	0.1333333333	0	0.1333333333	0	0.2	0.1333333333	0	0	0	0			
sorcerer	0	0.4	0	0	0	0	0	0	0.2	0.2	0	0.1	0	0.1			
spirit	0	0.1	0.2	0	0.1	0.1	0	0	0.1	0.1	0.1	0	0	0.2			
spy	0.0526315789	0	0	0.2105263158	0.1052631579	0	0	0	0.0526315789	0.1578947368	0	0.2105263158	0.2105263158	0			
stearsman	0	0	0	0	0	0	0	0.3333333333	0.0833333333	0.0833333333	0.3333333333	0	0.0833333333	0.0833333333			
succubus	0.1428571429	0.2857142857	0	0	0	0.2857142857	0	0	0	0.2857142857	0	0	0	0			
sultan	0	0	0	0.2	0	0	0	0	0.2	0.2	0	0.4	0	0			
summoner	0	0.2666666667	0	0.2	0.1333333333	0	0	0	0.1333333333	0.1333333333	0	0.0666666667	0	0.0666666667			
tailor	0	0	0	0	0	0	0	0.6666666667	0	0	0	0.3333333333	0	0			
taster	0	0	0	0.2	0	0	0	0	0.2	0.2	0	0.4	0	0			
tavern_keeper	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
tax_collector	0	0	0	0.25	0	0	0	0	0.25	0.25	0	0.25	0	0			
templar	0.2666666667	0.1333333333	0	0.1333333333	0	0	0	0	0.2666666667	0	0	0.2	0	0			
thief	0.1	0	0	0	0.2	0	0	0	0	0.3	0	0	0.4	0			
trapper	0.125	0	0	0	0.25	0	0.25	0.125	0.125	0.125	0	0	0	0			
traveler	0.125	0	0.125	0.125	0.125	0	0	0	0	0	0.25	0.125	0.125	0			
triton	0	0.25	0	0	0	0	0	0	0.125	0.125	0.5	0	0	0			
troll	0	0	0	0	0.5	0	0	0	0.25	0.25	0	0	0	0			
troubadour	0	0	0	0.1538461538	0	0.3076923077	0	0	0.1538461538	0.1538461538	0	0.1538461538	0.0769230769	0			
tutor	0	0	0	0.2	0	0	0	0	0.2	0.2	0	0.4	0	0			
valkyrie	0.3333333333	0.0833333333	0	0	0	0	0	0	0.3333333333	0	0	0.25	0	0			
vampire	0.1290322581	0.1290322581	0.1290322581	0.0967741935	0.064516129	0.064516129	0	0	0.064516129	0.0967741935	0	0.064516129	0.0322580645	0.1290322581			
ventriloquist	0	0	0	0.0833333333	0	0.3333333333	0	0	0.1666666667	0.1666666667	0	0.1666666667	0.0833333333	0			
villain	0.1	0	0.1	0.1	0.1	0	0	0	0	0.2	0	0.2	0.2	0			
viscount	0	0	0	0.2	0	0	0	0	0.2	0.2	0	0.4	0	0			
warlock	0.1666666667	0.3333333333	0	0	0	0	0	0	0.1666666667	0.1666666667	0	0.0833333333	0	0.0833333333			
warrior	0.3333333333	0	0	0	0	0	0	0	0.1666666667	0.1666666667	0.0833333333	0.1666666667	0	0.0833333333			
werewolf	0.1428571429	0	0.1428571429	0	0.1428571429	0	0	0	0.1428571429	0.1428571429	0	0	0.2857142857	0			
witch	0	0.2105263158	0.1052631579	0.1052631579	0.1052631579	0	0.0526315789	0	0.1052631579	0.2105263158	0	0.0526315789	0	0.0526315789			
wizard	0	0.3076923077	0	0.2307692308	0	0	0	0	0.1538461538	0.1538461538	0	0.0769230769	0	0.0769230769			
zombie	0.2222222222	0	0.2222222222	0	0.1111111111	0	0	0	0	0.2222222222	0	0	0	0.2222222222			
																	
OBJECT	JEWELRY	WEAPON	TOOL	METAL	INNOCUOUS	WOODEN	ENVASEMENT	FRUIT	FOOD	TEXTILE	LIQUID	ROCK	BIG_OBJECT	WRITING_TOOL	SCRIPTORIUM	BONE	BODY_PART
abacus	0	0	0.1538461538	0.0769230769	0.1538461538	0.3076923077	0	0	0	0	0	0	0	0	0.3076923077	0	0
amulet	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
anchor	0	0	0.2	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0
antidote	0	0	0	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0	0	0.2727272727	0	0
anvil	0	0	0.2	0.8	0.8	-0.8	0	0	0	0	0	0	0	0	0	0	0
apple	0	0	0	0	0	0	0	0.6666666667	0.3333333333	0	0	0	0	0	0	0	0
apron	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0
armor	0.0769230769	0.3076923077	0	0.3076923077	0	0	0	0	0	0	0	0	0	0	0	0.3076923077	0
arrow	0	0.5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0
axe	0	0.3333333333	0.3333333333	0.1666666667	0	0.1666666667	0	0	0	0	0	0	0	0	0	0	0
bag	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0
battering_ram	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
beer	0	0	0	0	0.1428571429	0	0.2857142857	0.1428571429	0.1428571429	0	0.2857142857	0	0	0	0	0	0
belt	0.3333333333	0	0	0.6666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
blade	0.0769230769	0.3076923077	0.3076923077	0.3076923077	0	0	0	0	0	0	0	0	0	0	0	0	0
boots	0	0.2	0	0.4	0	0	0	0	0	0.4	0	0	0	0	0	0	0
bottle	0.0454545455	0	0	0.0909090909	0.1818181818	0.0909090909	0.1818181818	0.0909090909	0.0909090909	0	0.1818181818	0	0	0	0.0454545455	0	0
bow	0.1111111111	0.4444444444	0	0	0	0.4444444444	0	0	0	0	0	0	0	0	0	0	0
bracelet	0.1428571429	0	0	0.2857142857	0.2857142857	0	0	0	0	0	0	0	0	0	0	0.2857142857	0
bread	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
brew	0	0	0	0	0	0	0	0.2	0.2	0	0.4	0	0	0	0.2	0	0
broom	0	0	0.3333333333	0	0.3333333333	0.3333333333	0	0	0	0	0	0	0	0	0	0	0
brush	0	0	0.3333333333	0	0.3333333333	0.3333333333	0	0	0	0	0	0	0	0	0	0	0
bucket	0	0	0	0.0909090909	0.1818181818	0.1818181818	0.1818181818	0.0909090909	0.0909090909	0	0.1818181818	0	0	0	0	0	0
candelabrum	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
candle	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0
canoe	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
cape	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
carrot	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
cart	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
carving	0.25	0	0	0.125	0	0.125	0	0	0	0	0	0.25	0	0	0	0.25	0
catapult	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
cauldron	0	0	0	0.1904761905	0.0952380952	0	0.1904761905	0.0952380952	0.0952380952	0	0.1904761905	0	0	0	0.1428571429	0	0
chains	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
chariot	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
chest	0.1428571429	0	0	0.1428571429	0.2857142857	0.1428571429	0	0	0	0	0	0	0	0	0	0.2857142857	0
circlet	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
